ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-10T19:18:39.122711Z,embb,uesimtun0,10.45.0.2,95388,1907,100962,1677,1.193,0,1
2025-12-10T19:18:39.122711Z,urllc,uesimtun1,10.46.0.2,8623,169,12906,253,0.975,0,1
2025-12-10T19:18:39.122711Z,mmtc,uesimtun2,10.47.0.2,8690,173,13208,257,1.078,0,1
2025-12-10T19:18:39.373142Z,embb,uesimtun0,10.45.0.2,95553,1910,101206,1682,1.216,0,1
2025-12-10T19:18:39.373142Z,urllc,uesimtun1,10.46.0.2,8788,172,13150,258,0.996,0,1
2025-12-10T19:18:39.373142Z,mmtc,uesimtun2,10.47.0.2,8975,179,13632,265,0.951,0,1
2025-12-10T19:18:39.622666Z,embb,uesimtun0,10.45.0.2,95975,1918,101703,1691,1.302,0,1
2025-12-10T19:18:39.622666Z,urllc,uesimtun1,10.46.0.2,8953,175,13394,263,1.074,0,1
2025-12-10T19:18:39.622666Z,mmtc,uesimtun2,10.47.0.2,9140,182,13876,270,1.405,0,1
2025-12-10T19:18:39.873392Z,embb,uesimtun0,10.45.0.2,96397,1926,102200,1700,1.751,0,1
2025-12-10T19:18:39.873392Z,urllc,uesimtun1,10.46.0.2,9118,178,13638,268,1.083,0,1
2025-12-10T19:18:39.873392Z,mmtc,uesimtun2,10.47.0.2,9357,186,14160,276,1.207,0,1
2025-12-10T19:18:40.122829Z,embb,uesimtun0,10.45.0.2,99320,1984,105239,1750,1.193,0,1
2025-12-10T19:18:40.122829Z,urllc,uesimtun1,10.46.0.2,9283,181,13882,273,1.048,0,1
2025-12-10T19:18:40.122829Z,mmtc,uesimtun2,10.47.0.2,9522,189,14404,281,1.137,0,1
2025-12-10T19:18:40.373532Z,embb,uesimtun0,10.45.0.2,99485,1987,105483,1755,1.327,0,1
2025-12-10T19:18:40.373532Z,urllc,uesimtun1,10.46.0.2,9448,184,14126,278,1.188,0,1
2025-12-10T19:18:40.373532Z,mmtc,uesimtun2,10.47.0.2,9687,192,14648,286,1.056,0,1
2025-12-10T19:18:40.623141Z,embb,uesimtun0,10.45.0.2,99650,1990,105787,1761,1.287,0,1
2025-12-10T19:18:40.623141Z,urllc,uesimtun1,10.46.0.2,9693,189,14490,285,1.129,0,1
2025-12-10T19:18:40.623141Z,mmtc,uesimtun2,10.47.0.2,9852,195,14892,291,1.086,0,1
2025-12-10T19:18:40.873101Z,embb,uesimtun0,10.45.0.2,100369,2004,106530,1774,1.749,0,1
2025-12-10T19:18:40.873101Z,urllc,uesimtun1,10.46.0.2,9910,193,14734,290,1.131,0,1
2025-12-10T19:18:40.873101Z,mmtc,uesimtun2,10.47.0.2,10017,198,15136,296,1.344,0,1
2025-12-10T19:18:41.123478Z,embb,uesimtun0,10.45.0.2,103360,2064,109673,1826,1.355,0,1
2025-12-10T19:18:41.123478Z,urllc,uesimtun1,10.46.0.2,10075,196,14978,295,1.673,0,1
2025-12-10T19:18:41.123478Z,mmtc,uesimtun2,10.47.0.2,10222,202,15440,302,1.369,0,1
2025-12-10T19:18:41.372823Z,embb,uesimtun0,10.45.0.2,103525,2067,109917,1831,1.354,0,1
2025-12-10T19:18:41.372823Z,urllc,uesimtun1,10.46.0.2,10240,199,15222,300,1.191,0,1
2025-12-10T19:18:41.372823Z,mmtc,uesimtun2,10.47.0.2,10427,206,15744,308,1.129,0,1
2025-12-10T19:18:41.625029Z,embb,uesimtun0,10.45.0.2,103690,2070,110161,1836,1.537,0,1
2025-12-10T19:18:41.625029Z,urllc,uesimtun1,10.46.0.2,10405,202,15466,305,1.098,0,1
2025-12-10T19:18:41.625029Z,mmtc,uesimtun2,10.47.0.2,10592,209,15988,313,1.153,0,1
2025-12-10T19:18:41.873391Z,embb,uesimtun0,10.45.0.2,104369,2083,110911,1849,1.391,0,1
2025-12-10T19:18:41.873391Z,urllc,uesimtun1,10.46.0.2,10570,205,15710,310,0.861,0,1
2025-12-10T19:18:41.873391Z,mmtc,uesimtun2,10.47.0.2,10797,213,16292,319,0.926,0,1
2025-12-10T19:18:42.122931Z,embb,uesimtun0,10.45.0.2,107172,2138,113791,1896,1.343,0,1
2025-12-10T19:18:42.122931Z,urllc,uesimtun1,10.46.0.2,10735,208,15954,315,1.019,0,1
2025-12-10T19:18:42.122931Z,mmtc,uesimtun2,10.47.0.2,10962,216,16536,324,1.201,0,1
2025-12-10T19:18:42.373520Z,embb,uesimtun0,10.45.0.2,107337,2141,114035,1901,1.696,0,1
2025-12-10T19:18:42.373520Z,urllc,uesimtun1,10.46.0.2,10900,211,16198,320,1.130,0,1
2025-12-10T19:18:42.373520Z,mmtc,uesimtun2,10.47.0.2,11127,219,16780,329,1.189,0,1
2025-12-10T19:18:42.623282Z,embb,uesimtun0,10.45.0.2,107502,2144,114279,1906,1.584,0,1
2025-12-10T19:18:42.623282Z,urllc,uesimtun1,10.46.0.2,11065,214,16442,325,1.017,0,1
2025-12-10T19:18:42.623282Z,mmtc,uesimtun2,10.47.0.2,11292,222,17024,334,0.982,0,1
2025-12-10T19:18:42.872798Z,embb,uesimtun0,10.45.0.2,108181,2157,115029,1919,5.763,0,1
2025-12-10T19:18:42.872798Z,urllc,uesimtun1,10.46.0.2,11230,217,16686,330,0.955,0,1
2025-12-10T19:18:42.872798Z,mmtc,uesimtun2,10.47.0.2,11497,226,17328,340,0.937,0,1
2025-12-10T19:18:43.122619Z,embb,uesimtun0,10.45.0.2,110550,2204,117507,1960,1.165,0,1
2025-12-10T19:18:43.122619Z,urllc,uesimtun1,10.46.0.2,11435,221,16990,336,0.959,0,1
2025-12-10T19:18:43.122619Z,mmtc,uesimtun2,10.47.0.2,11662,229,17632,346,1.078,0,1
2025-12-10T19:18:43.372824Z,embb,uesimtun0,10.45.0.2,110715,2207,117751,1965,1.800,0,1
2025-12-10T19:18:43.372824Z,urllc,uesimtun1,10.46.0.2,11600,224,17234,341,1.206,0,1
2025-12-10T19:18:43.372824Z,mmtc,uesimtun2,10.47.0.2,11867,233,17876,351,1.223,0,1
2025-12-10T19:18:43.623446Z,embb,uesimtun0,10.45.0.2,110880,2210,117995,1970,1.783,0,1
2025-12-10T19:18:43.623446Z,urllc,uesimtun1,10.46.0.2,11805,228,17538,347,1.204,0,1
2025-12-10T19:18:43.623446Z,mmtc,uesimtun2,10.47.0.2,12032,236,18120,356,1.166,0,1
2025-12-10T19:18:43.872997Z,embb,uesimtun0,10.45.0.2,111559,2223,118745,1983,1.405,0,1
2025-12-10T19:18:43.872997Z,urllc,uesimtun1,10.46.0.2,11970,231,17782,352,0.828,0,1
2025-12-10T19:18:43.872997Z,mmtc,uesimtun2,10.47.0.2,12197,239,18364,361,0.874,0,1
2025-12-10T19:18:44.122627Z,embb,uesimtun0,10.45.0.2,113522,2263,120935,2020,1.163,0,1
2025-12-10T19:18:44.122627Z,urllc,uesimtun1,10.46.0.2,12187,235,18066,358,1.951,0,1
2025-12-10T19:18:44.122627Z,mmtc,uesimtun2,10.47.0.2,12414,243,18648,367,1.057,0,1
2025-12-10T19:18:44.373290Z,embb,uesimtun0,10.45.0.2,113984,2272,121425,2029,1.509,0,1
2025-12-10T19:18:44.373290Z,urllc,uesimtun1,10.46.0.2,12404,239,18350,364,1.059,0,1
2025-12-10T19:18:44.373290Z,mmtc,uesimtun2,10.47.0.2,12723,249,19032,375,0.849,0,1
2025-12-10T19:18:44.623352Z,embb,uesimtun0,10.45.0.2,114149,2275,121669,2034,1.612,0,1
2025-12-10T19:18:44.623352Z,urllc,uesimtun1,10.46.0.2,12569,242,18594,369,1.224,0,1
2025-12-10T19:18:44.623352Z,mmtc,uesimtun2,10.47.0.2,12888,252,19276,380,1.212,0,1
2025-12-10T19:18:44.873427Z,embb,uesimtun0,10.45.0.2,114571,2283,122166,2043,1.648,0,1
2025-12-10T19:18:44.873427Z,urllc,uesimtun1,10.46.0.2,12734,245,18838,374,1.132,0,1
2025-12-10T19:18:44.873427Z,mmtc,uesimtun2,10.47.0.2,13105,256,19560,386,1.037,0,1
2025-12-10T19:18:45.122980Z,embb,uesimtun0,10.45.0.2,116101,2313,123781,2070,1.192,0,1
2025-12-10T19:18:45.122980Z,urllc,uesimtun1,10.46.0.2,12899,248,19082,379,1.054,0,1
2025-12-10T19:18:45.122980Z,mmtc,uesimtun2,10.47.0.2,13362,261,19864,392,1.196,0,1
2025-12-10T19:18:45.372898Z,embb,uesimtun0,10.45.0.2,116563,2322,124331,2080,1.205,0,1
2025-12-10T19:18:45.372898Z,urllc,uesimtun1,10.46.0.2,13064,251,19326,384,1.009,0,1
2025-12-10T19:18:45.372898Z,mmtc,uesimtun2,10.47.0.2,13699,268,20328,401,1.004,0,1
2025-12-10T19:18:45.622590Z,embb,uesimtun0,10.45.0.2,116728,2325,124575,2085,1.564,0,1
2025-12-10T19:18:45.622590Z,urllc,uesimtun1,10.46.0.2,13229,254,19570,389,0.839,0,1
2025-12-10T19:18:45.622590Z,mmtc,uesimtun2,10.47.0.2,13916,272,20612,407,0.880,0,1
2025-12-10T19:18:45.872798Z,embb,uesimtun0,10.45.0.2,116893,2328,124819,2090,1.589,0,1
2025-12-10T19:18:45.872798Z,urllc,uesimtun1,10.46.0.2,13394,257,19814,394,1.472,0,1
2025-12-10T19:18:45.872798Z,mmtc,uesimtun2,10.47.0.2,14081,275,20856,412,1.315,0,1
2025-12-10T19:18:46.122723Z,embb,uesimtun0,10.45.0.2,117869,2347,125875,2108,1.584,0,1
2025-12-10T19:18:46.122723Z,urllc,uesimtun1,10.46.0.2,13599,261,20118,400,1.230,0,1
2025-12-10T19:18:46.122723Z,mmtc,uesimtun2,10.47.0.2,14246,278,21100,417,1.099,0,1
2025-12-10T19:18:46.372958Z,embb,uesimtun0,10.45.0.2,118588,2361,126678,2122,1.399,0,1
2025-12-10T19:18:46.372958Z,urllc,uesimtun1,10.46.0.2,13844,266,20482,407,1.006,0,1
2025-12-10T19:18:46.372958Z,mmtc,uesimtun2,10.47.0.2,14463,282,21384,423,1.022,0,1
2025-12-10T19:18:46.622721Z,embb,uesimtun0,10.45.0.2,118753,2364,126922,2127,1.612,0,1
2025-12-10T19:18:46.622721Z,urllc,uesimtun1,10.46.0.2,14009,269,20726,412,1.028,0,1
2025-12-10T19:18:46.622721Z,mmtc,uesimtun2,10.47.0.2,14628,285,21628,428,1.062,0,1
2025-12-10T19:18:46.872801Z,embb,uesimtun0,10.45.0.2,119215,2373,127472,2137,1.491,0,1
2025-12-10T19:18:46.872801Z,urllc,uesimtun1,10.46.0.2,14214,273,21030,418,1.067,0,1
