ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:30.750571Z,mmtc,uesimtun2,148309,1812,152248,1905,0.891,0,1
2025-11-25T17:15:31.000150Z,embb,uesimtun0,148881,1819,153172,1922,1.359,0,1
2025-11-25T17:15:31.000150Z,urllc,uesimtun1,147179,1804,149576,1839,0.915,0,1
2025-11-25T17:15:31.000150Z,mmtc,uesimtun2,148474,1815,152492,1910,1.009,0,1
2025-11-25T17:15:31.250148Z,embb,uesimtun0,149046,1822,153416,1927,1.341,0,1
2025-11-25T17:15:31.250148Z,urllc,uesimtun1,147319,1807,149740,1842,0.897,0,1
2025-11-25T17:15:31.250148Z,mmtc,uesimtun2,148639,1818,152736,1915,1.078,0,1
2025-11-25T17:15:31.500236Z,embb,uesimtun0,149211,1825,153660,1932,79.996,0,1
2025-11-25T17:15:31.500236Z,urllc,uesimtun1,147459,1810,149904,1845,1.038,0,1
2025-11-25T17:15:31.500236Z,mmtc,uesimtun2,148804,1821,152980,1920,0.897,0,1
2025-11-25T17:15:31.750492Z,embb,uesimtun0,149376,1828,153904,1937,1.258,0,1
2025-11-25T17:15:31.750492Z,urllc,uesimtun1,147624,1813,150148,1850,1.015,0,1
2025-11-25T17:15:31.750492Z,mmtc,uesimtun2,148944,1824,153144,1923,0.969,0,1
2025-11-25T17:15:32.001055Z,embb,uesimtun0,149541,1831,154148,1942,1.356,0,1
2025-11-25T17:15:32.001055Z,urllc,uesimtun1,147764,1816,150312,1853,1.014,0,1
2025-11-25T17:15:32.001055Z,mmtc,uesimtun2,149109,1827,153388,1928,1.072,0,1
2025-11-25T17:15:32.250600Z,embb,uesimtun0,149706,1834,154392,1947,1.320,0,1
2025-11-25T17:15:32.250600Z,urllc,uesimtun1,147904,1819,150476,1856,0.983,0,1
2025-11-25T17:15:32.250600Z,mmtc,uesimtun2,149274,1830,153632,1933,1.096,0,1
2025-11-25T17:15:32.500601Z,embb,uesimtun0,149871,1837,154636,1952,54.252,0,1
2025-11-25T17:15:32.500601Z,urllc,uesimtun1,148044,1822,150640,1859,0.994,0,1
2025-11-25T17:15:32.500601Z,mmtc,uesimtun2,149439,1833,153876,1938,0.711,0,1
2025-11-25T17:15:32.750178Z,embb,uesimtun0,150036,1840,154880,1957,1.274,0,1
2025-11-25T17:15:32.750178Z,urllc,uesimtun1,148209,1825,150884,1864,0.945,0,1
2025-11-25T17:15:32.750178Z,mmtc,uesimtun2,149579,1836,154040,1941,0.973,0,1
2025-11-25T17:15:33.002807Z,embb,uesimtun0,150201,1843,155124,1962,1.395,0,1
2025-11-25T17:15:33.002807Z,urllc,uesimtun1,148349,1828,151048,1867,1.032,0,1
2025-11-25T17:15:33.002807Z,mmtc,uesimtun2,149744,1839,154284,1946,0.997,0,1
2025-11-25T17:15:33.250203Z,embb,uesimtun0,150366,1846,155368,1967,19.471,0,1
2025-11-25T17:15:33.250203Z,urllc,uesimtun1,148489,1831,151212,1870,,1,1
2025-11-25T17:15:33.250203Z,mmtc,uesimtun2,149909,1842,154528,1951,0.973,0,1
2025-11-25T17:15:33.500495Z,embb,uesimtun0,150531,1849,155612,1972,58.902,0,1
2025-11-25T17:15:33.500495Z,urllc,uesimtun1,148529,1832,151272,1871,,1,1
