ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-10T20:59:54.144030Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27213096618652344,0.1430034637451172,0.1366138458251953
2025-12-10T20:59:54.643096Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2891063690185547,0.15702247619628906,0.14505386352539062
2025-12-10T20:59:55.144307Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2830982208251953,0.16236305236816406,0.14486312866210938
2025-12-10T20:59:55.644238Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28738975524902344,0.1647472381591797,0.13866424560546875
2025-12-10T20:59:56.143380Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2803802490234375,0.1647472381591797,0.14257431030273438
2025-12-10T20:59:56.644072Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28634071350097656,0.16965866088867188,0.146484375
2025-12-10T20:59:57.142956Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27260780334472656,0.16689300537109375,0.1399517059326172
2025-12-10T20:59:57.644060Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2750396728515625,0.1511096954345703,0.1460552215576172
2025-12-10T20:59:58.143545Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2871990203857422,0.15540122985839844,0.1460552215576172
2025-12-10T20:59:58.643838Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2876758575439453,0.1484394073486328,0.1545429229736328
2025-12-10T20:59:59.143396Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2849578857421875,0.1484394073486328,0.16775131225585938
2025-12-10T20:59:59.644110Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29087066650390625,0.1491546630859375,0.16660690307617188
2025-12-10T21:00:00.144060Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2945899963378906,0.15192031860351562,0.1690387725830078
2025-12-10T21:00:00.643587Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2846240997314453,0.16880035400390625,0.17547607421875
2025-12-10T21:00:01.144303Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2850055694580078,0.15974044799804688,0.16813278198242188
2025-12-10T21:00:01.644060Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2808570861816406,0.15769004821777344,0.1499176025390625
2025-12-10T21:00:02.144306Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2765178680419922,0.15888214111328125,0.15001296997070312
2025-12-10T21:00:02.643603Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2806663513183594,0.15888214111328125,0.1491546630859375
2025-12-10T21:00:03.143477Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2784252166748047,0.16083717346191406,0.14772415161132812
2025-12-10T21:00:03.644117Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2830982208251953,0.14243125915527344,0.15859603881835938
2025-12-10T21:00:04.144300Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28629302978515625,0.14715194702148438,0.15387535095214844
2025-12-10T21:00:04.644264Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29621124267578125,0.15993118286132812,0.15611648559570312
2025-12-10T21:00:05.143409Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2902030944824219,0.16379356384277344,0.15897750854492188
2025-12-10T21:00:05.643176Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28519630432128906,0.16379356384277344,0.15354156494140625
2025-12-10T21:00:06.143626Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28634071350097656,0.1723766326904297,0.14276504516601562
2025-12-10T21:00:06.644210Z,50mbit,10mbit,800kbit,none,,0,0,0,0.284576416015625,0.2048492431640625,0.15082359313964844
2025-12-10T21:00:07.143852Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27823448181152344,0.19998550415039062,0.14753341674804688
2025-12-10T21:00:07.643893Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2943992614746094,0.1965045928955078,0.14705657958984375
2025-12-10T21:00:08.143666Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3131389617919922,0.1965045928955078,0.1594066619873047
2025-12-10T21:00:08.643480Z,50mbit,10mbit,800kbit,none,,0,0,0,0.31142234802246094,0.18825531005859375,0.16770362854003906
2025-12-10T21:00:09.143702Z,50mbit,10mbit,800kbit,none,,0,0,0,0.31599998474121094,0.17728805541992188,0.16803741455078125
2025-12-10T21:00:09.643805Z,50mbit,10mbit,800kbit,none,,0,0,0,0.32258033752441406,0.15935897827148438,0.17485618591308594
2025-12-10T21:00:10.144005Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3059864044189453,0.160980224609375,0.177764892578125
2025-12-10T21:00:10.643751Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2978801727294922,0.15363693237304688,0.15997886657714844
2025-12-10T21:00:11.143318Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2933979034423828,0.1605987548828125,0.17557144165039062
2025-12-10T21:00:11.642970Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29044151306152344,0.1659870147705078,0.18825531005859375
2025-12-10T21:00:12.144078Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2799034118652344,0.1659870147705078,0.19445419311523438
2025-12-10T21:00:12.643597Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2830982208251953,0.15320777893066406,0.18825531005859375
2025-12-10T21:00:13.143103Z,50mbit,10mbit,800kbit,none,,0,0,0,0.283050537109375,0.154876708984375,0.18782615661621094
2025-12-10T21:00:13.644037Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2840995788574219,0.1556873321533203,0.16798973083496094
