ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-12T01:36:34.338536Z,50mbit,10mbit,800kbit,none,,0,0,0,0.48537254333496094,0.17366409301757812,0.16422271728515625
2025-12-12T01:36:34.839105Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4034996032714844,0.17366409301757812,0.16236305236816406
2025-12-12T01:36:35.338075Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4153251647949219,0.19989013671875,0.1651287078857422
2025-12-12T01:36:35.838547Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5118370056152344,0.19989013671875,0.16345977783203125
2025-12-12T01:36:36.338587Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5237579345703125,0.19989013671875,0.16455650329589844
2025-12-12T01:36:36.839055Z,50mbit,10mbit,800kbit,none,,0,0,0,0.48651695251464844,0.19989013671875,0.16045570373535156
2025-12-12T01:36:37.338933Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5686283111572266,0.20933151245117188,0.17175674438476562
2025-12-12T01:36:37.838312Z,50mbit,10mbit,800kbit,none,,0,0,0,0.6597995758056641,0.21347999572753906,0.16889572143554688
2025-12-12T01:36:38.338093Z,50mbit,10mbit,800kbit,none,,0,0,0,0.6224632263183594,0.21486282348632812,0.16794204711914062
2025-12-12T01:36:38.838935Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5528926849365234,0.21486282348632812,0.167083740234375
2025-12-12T01:36:39.338553Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5792617797851562,0.19092559814453125,0.1647472381591797
2025-12-12T01:36:39.838169Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4985809326171875,0.19092559814453125,0.1598358154296875
2025-12-12T01:36:40.338277Z,50mbit,10mbit,800kbit,none,,0,0,0,0.46906471252441406,0.17447471618652344,0.1620769500732422
2025-12-12T01:36:40.838734Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3893852233886719,0.16794204711914062,0.1633167266845703
2025-12-12T01:36:41.339251Z,50mbit,10mbit,800kbit,none,,0,0,0,0.38132667541503906,0.1713275909423828,0.1633167266845703
2025-12-12T01:36:41.839009Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3307342529296875,0.1713275909423828,0.1731395721435547
2025-12-12T01:36:42.338279Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4016399383544922,0.1713275909423828,0.17647743225097656
2025-12-12T01:36:42.838719Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3361701965332031,0.1713275909423828,0.17232894897460938
2025-12-12T01:36:43.339135Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3653526306152344,0.16450881958007812,0.16732215881347656
2025-12-12T01:36:43.838790Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4769325256347656,0.1728057861328125,0.16431808471679688
2025-12-12T01:36:44.338984Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5615711212158203,0.1728057861328125,0.1556873321533203
2025-12-12T01:36:44.838376Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5011081695556641,0.17423629760742188,0.1491069793701172
2025-12-12T01:36:45.338559Z,50mbit,10mbit,800kbit,none,,0,0,0,0.5169391632080078,0.17423629760742188,0.15625953674316406
2025-12-12T01:36:45.838748Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4772186279296875,0.17423629760742188,0.1590251922607422
2025-12-12T01:36:46.339097Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4295825958251953,0.18248558044433594,0.15549659729003906
2025-12-12T01:36:46.838186Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3615856170654297,0.17824172973632812,0.1506805419921875
2025-12-12T01:36:47.338552Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4299163818359375,0.17957687377929688,0.1582622528076172
2025-12-12T01:36:47.838538Z,50mbit,10mbit,800kbit,none,,0,0,0,0.40569305419921875,0.17957687377929688,0.15172958374023438
2025-12-12T01:36:48.338831Z,50mbit,10mbit,800kbit,none,,0,0,0,0.4818916320800781,0.17957687377929688,0.14967918395996094
