ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-11T19:21:35.235817Z,50mbit,10mbit,800kbit,none,,0,0,0,53.40394973754883,0.17175674438476562,0.19736289978027344
2025-12-11T19:21:35.736351Z,50mbit,10mbit,800kbit,none,,0,0,0,53.40752601623535,0.16546249389648438,0.19736289978027344
2025-12-11T19:21:36.235450Z,50mbit,10mbit,800kbit,none,,0,0,0,53.41153144836426,0.1655101776123047,0.18258094787597656
2025-12-11T19:21:36.736096Z,50mbit,10mbit,800kbit,none,,0,0,0,53.42397689819336,0.17185211181640625,0.17328262329101562
2025-12-11T19:21:37.236501Z,50mbit,10mbit,800kbit,none,,0,0,0,0.33473968505859375,0.1563549041748047,0.17328262329101562
2025-12-11T19:21:37.735933Z,50mbit,10mbit,800kbit,none,,0,0,0,0.32944679260253906,0.1476287841796875,0.1743316650390625
2025-12-11T19:21:38.235948Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3349781036376953,0.16660690307617188,0.160980224609375
2025-12-11T19:21:38.736453Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3333091735839844,0.16617774963378906,0.160980224609375
2025-12-11T19:21:39.235902Z,50mbit,10mbit,800kbit,none,,0,0,0,0.31909942626953125,0.1648426055908203,0.17142295837402344
2025-12-11T19:21:39.736340Z,50mbit,10mbit,800kbit,none,,0,0,0,20.989227294921875,0.19545555114746094,0.191497802734375
2025-12-11T19:21:40.236169Z,50mbit,10mbit,800kbit,none,,0,0,0,20.995378494262695,0.19626617431640625,0.191497802734375
2025-12-11T19:21:40.736018Z,50mbit,10mbit,800kbit,none,,0,0,0,37.96858787536621,0.19021034240722656,0.2280712127685547
2025-12-11T19:21:41.236017Z,50mbit,10mbit,800kbit,none,,0,0,0,37.98575401306152,0.1965045928955078,0.22873878479003906
2025-12-11T19:21:41.735446Z,50mbit,10mbit,800kbit,none,,0,0,0,51.8399715423584,0.20704269409179688,0.22935867309570312
2025-12-11T19:21:42.236115Z,50mbit,10mbit,800kbit,none,,0,0,0,31.17375373840332,0.20704269409179688,0.2094745635986328
2025-12-11T19:21:42.788530Z,50mbit,10mbit,800kbit,none,,0,0,0,31.171178817749023,0.1880645751953125,0.1914501190185547
2025-12-11T19:21:43.235951Z,50mbit,10mbit,800kbit,none,,0,0,0,14.198970794677734,0.2089977264404297,0.1594066619873047
2025-12-11T19:21:43.736440Z,50mbit,10mbit,800kbit,none,,0,0,0,22.035694122314453,0.2089977264404297,0.16765594482421875
2025-12-11T19:21:44.236059Z,50mbit,10mbit,800kbit,none,,0,0,0,8.18948745727539,0.19888877868652344,0.17371177673339844
2025-12-11T19:21:44.736163Z,50mbit,10mbit,800kbit,none,,0,0,0,8.195924758911133,0.19559860229492188,0.1862049102783203
2025-12-11T19:21:45.236178Z,50mbit,10mbit,800kbit,none,,0,0,0,8.199024200439453,0.19559860229492188,0.18930435180664062
2025-12-11T19:21:45.736366Z,50mbit,10mbit,800kbit,none,,0,0,0,11.244010925292969,0.21147727966308594,0.2106189727783203
2025-12-11T19:21:46.236162Z,50mbit,10mbit,800kbit,none,,0,0,0,3.399515151977539,0.20394325256347656,0.20089149475097656
2025-12-11T19:21:46.735939Z,50mbit,10mbit,800kbit,none,,0,0,0,25.00138282775879,0.1850605010986328,0.196075439453125
2025-12-11T19:21:47.236334Z,50mbit,10mbit,800kbit,none,,0,0,0,24.98912811279297,0.18777847290039062,0.18301010131835938
2025-12-11T19:21:47.735631Z,50mbit,10mbit,800kbit,none,,0,0,0,38.01007270812988,0.27599334716796875,0.28967857360839844
2025-12-11T19:21:48.236712Z,50mbit,10mbit,800kbit,none,,0,0,0,34.96594429016113,0.25391578674316406,0.28967857360839844
