ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:38.291729Z,urllc,uesimtun2,10.46.0.2,16697,365,24730,456,1.485,0,1
2025-12-09T08:44:38.291729Z,mmtc,uesimtun1,10.47.0.2,22685,517,2178264,36348,,1,1
2025-12-09T08:44:38.541678Z,embb,uesimtun0,10.45.0.2,425890,8767,4318159847,3145454,1.935,0,1
2025-12-09T08:44:38.541678Z,urllc,uesimtun2,10.46.0.2,16954,370,25074,463,1.924,0,1
2025-12-09T08:44:38.541678Z,mmtc,uesimtun1,10.47.0.2,22745,518,2178364,36350,3.458,0,1
2025-12-09T08:44:38.791950Z,embb,uesimtun0,10.45.0.2,426705,8784,4321337991,3147780,1.906,0,1
2025-12-09T08:44:38.791950Z,urllc,uesimtun2,10.46.0.2,17159,374,25378,469,1.985,0,1
2025-12-09T08:44:38.791950Z,mmtc,uesimtun1,10.47.0.2,23002,523,2203908,36777,,1,1
2025-12-09T08:44:39.041546Z,embb,uesimtun0,10.45.0.2,426922,8788,4324540227,3150113,2.075,0,1
2025-12-09T08:44:39.041546Z,urllc,uesimtun2,10.46.0.2,17376,378,25662,475,1.243,0,1
2025-12-09T08:44:39.041546Z,mmtc,uesimtun1,10.47.0.2,23062,524,2204008,36779,4.879,0,1
2025-12-09T08:44:39.291495Z,embb,uesimtun0,10.45.0.2,428319,8817,4327718971,3152449,1.199,0,1
2025-12-09T08:44:39.291495Z,urllc,uesimtun2,10.46.0.2,17541,381,25906,480,1.051,0,1
2025-12-09T08:44:39.291495Z,mmtc,uesimtun1,10.47.0.2,23359,530,2221212,37067,5.630,0,1
2025-12-09T08:44:39.542123Z,embb,uesimtun0,10.45.0.2,429054,8832,4330925907,3154794,1.558,0,1
2025-12-09T08:44:39.542123Z,urllc,uesimtun2,10.46.0.2,17798,386,26250,487,2.305,0,1
2025-12-09T08:44:39.542123Z,mmtc,uesimtun1,10.47.0.2,23616,535,2221556,37074,6.748,0,1
2025-12-09T08:44:39.791795Z,embb,uesimtun0,10.45.0.2,429733,8845,4334114849,3157124,1.623,0,1
2025-12-09T08:44:39.791795Z,urllc,uesimtun2,10.46.0.2,17963,389,26494,492,1.606,0,1
2025-12-09T08:44:39.791795Z,mmtc,uesimtun1,10.47.0.2,23833,539,2247040,37500,,1,1
2025-12-09T08:44:40.041745Z,embb,uesimtun0,10.45.0.2,429950,8849,4337304701,3159448,2.567,0,1
2025-12-09T08:44:40.041745Z,urllc,uesimtun2,10.46.0.2,18180,393,26778,498,1.634,0,1
2025-12-09T08:44:40.041745Z,mmtc,uesimtun1,10.47.0.2,23893,540,2247140,37502,2.222,0,1
2025-12-09T08:44:40.291593Z,embb,uesimtun0,10.45.0.2,431965,8890,4340485444,3161795,1.332,0,1
2025-12-09T08:44:40.291593Z,urllc,uesimtun2,10.46.0.2,18397,397,27062,504,1.768,0,1
2025-12-09T08:44:40.291593Z,mmtc,uesimtun1,10.47.0.2,24110,544,2264224,37788,138.563,0,1
2025-12-09T08:44:40.541486Z,embb,uesimtun0,10.45.0.2,432724,8905,4343675868,3164128,1.255,0,1
2025-12-09T08:44:40.541486Z,urllc,uesimtun2,10.46.0.2,18562,400,27306,509,1.748,0,1
2025-12-09T08:44:40.541486Z,mmtc,uesimtun1,10.47.0.2,24210,546,2264448,37792,6.964,0,1
2025-12-09T08:44:40.791709Z,embb,uesimtun0,10.45.0.2,433278,8916,4346867454,3166459,1.547,0,1
2025-12-09T08:44:40.791709Z,urllc,uesimtun2,10.46.0.2,18779,404,27590,515,1.678,0,1
2025-12-09T08:44:40.791709Z,mmtc,uesimtun1,10.47.0.2,24612,554,2290132,38222,114.588,0,1
2025-12-09T08:44:41.041544Z,embb,uesimtun0,10.45.0.2,433495,8920,4350068314,3168791,1.793,0,1
2025-12-09T08:44:41.041544Z,urllc,uesimtun2,10.46.0.2,18944,407,27834,520,1.127,0,1
2025-12-09T08:44:41.041544Z,mmtc,uesimtun1,10.47.0.2,24829,558,2290416,38228,6.627,0,1
2025-12-09T08:44:41.291814Z,embb,uesimtun0,10.45.0.2,435903,8970,4353252260,3171148,1.161,0,1
2025-12-09T08:44:41.291814Z,urllc,uesimtun2,10.46.0.2,19161,411,28118,526,1.885,0,1
2025-12-09T08:44:41.291814Z,mmtc,uesimtun1,10.47.0.2,25086,563,2307560,38515,136.405,0,1
